[171, 140, 50, 1, 1, 1, '172', '', '']
[171, 360, 50, 1, 2, 1, '173', '', '']
[171, 50, 50, 1, 3, 0, 'N', '', '']
[171, 50, 100, 1, 4, 0, 'N', '', '']
[171, 50, 150, 1, 5, 0, 'N', '', '']
[171, 50, 200, 1, 6, 0, 'N', '', '']
[171, 50, 250, 1, 7, 0, 'N', '', '']
[171, 450, 50, 1, 8, 0, 'N', '', '']
[171, 450, 100, 1, 9, 0, 'N', '', '']
[171, 450, 150, 1, 10, 0, 'N', '', '']
[171, 450, 200, 1, 11, 0, 'N', '', '']
[171, 450, 250, 1, 12, 0, 'N', '', '']
[171, 450, 300, 1, 13, 0, 'N', '', '']
[171, 50, 300, 1, 14, 0, 'N', '', '']
[171, 50, 350, 1, 15, 0, 'N', '', '']
[171, 50, 400, 1, 16, 0, 'N', '', '']
[171, 150, 400, 1, 17, 0, 'N', '', '']
[171, 450, 350, 1, 18, 0, 'N', '', '']
[171, 100, 350, 1, 19, 3, '教二楼111', '', '']
[171, 100, 300, 1, 20, 3, '教二楼109', '', '']
[171, 0, 350, 1, 21, 3, '教二楼112', '', '']
[171, 0, 300, 1, 22, 3, '教二楼110', '', '']
[171, 100, 250, 1, 23, 3, '教二楼107', '', '']
[171, 0, 250, 1, 24, 3, '教二楼108', '', '']
[171, 100, 200, 1, 25, 3, '教二楼105', '', '']
[171, 0, 200, 1, 26, 3, '教二楼106', '', '']
[171, 100, 150, 1, 27, 3, '教二楼103', '', '']
[171, 0, 150, 1, 28, 3, '教二楼104', '', '']
[171, 100, 100, 1, 29, 3, '教二楼101', '', '']
[171, 0, 100, 1, 30, 3, '教二楼102', '', '']
[171, 500, 100, 1, 31, 3, '教二楼126', '', '']
[171, 500, 150, 1, 32, 3, '教二楼124', '', '']
[171, 400, 150, 1, 33, 3, '教二楼125', '', '']
[171, 400, 200, 1, 34, 3, '教二楼123', '', '']
[171, 500, 200, 1, 35, 3, '教二楼122', '', '']
[171, 500, 250, 1, 36, 3, '教二楼120', '', '']
[171, 400, 250, 1, 37, 3, '教二楼121', '', '']
[171, 500, 300, 1, 38, 3, '教二楼118', '', '']
[171, 400, 300, 1, 39, 3, '教二楼119', '', '']
[171, 250, 400, 1, 40, 0, 'N', '', '']
[171, 200, 400, 1, 41, 0, 'N', '', '']
[171, 300, 400, 1, 42, 0, 'N', '', '']
[171, 50, 500, 2, 43, 0, 'N', '', '']
[171, 150, 500, 2, 44, 0, 'N', '', '']
[171, 450, 400, 1, 45, 0, 'N', '', '']
[171, 150, 350, 1, 46, 3, '教二楼113', '', '']
[171, 200, 350, 1, 47, 3, '教二楼114', '', '']
[171, 250, 350, 1, 48, 3, '教二楼115', '', '']
[171, 300, 350, 1, 49, 3, '教二楼116', '', '']
[171, 500, 350, 1, 50, 3, '教二楼117', '', '']
[171, 350, 500, 2, 51, 0, 'N', '', '']
[171, 450, 500, 2, 52, 0, 'N', '', '']
[171, 50, 550, 2, 53, 0, 'N', '', '']
[171, 50, 600, 2, 54, 0, 'N', '', '']
[171, 50, 650, 2, 55, 0, 'N', '', '']
[171, 50, 700, 2, 56, 0, 'N', '', '']
[171, 50, 750, 2, 57, 0, 'N', '', '']
[171, 50, 800, 2, 58, 0, 'N', '', '']
[171, 450, 800, 2, 59, 0, 'N', '', '']
[171, 450, 750, 2, 60, 0, 'N', '', '']
[171, 450, 700, 2, 61, 0, 'N', '', '']
[171, 450, 650, 2, 62, 0, 'N', '', '']
[171, 450, 600, 2, 63, 0, 'N', '', '']
[171, 450, 550, 2, 64, 0, 'N', '', '']
[171, 100, 750, 2, 65, 3, '教二楼210', '2019211301班-操作系统-周四1点', '2019211302班-操作系统-周四1点']
[171, 0, 750, 2, 66, 3, '教二楼211', '2019211301班-编译原理与技术-周五4点', '2019211302班-编译原理与技术-周五4点']
[171, 100, 700, 2, 67, 3, '教二楼208', '', '']
[171, 0, 700, 2, 68, 3, '教二楼209', '', '']
[171, 100, 650, 2, 69, 3, '教二楼206', '', '']
[171, 0, 650, 2, 70, 3, '教二楼207', '', '']
[171, 0, 600, 2, 71, 3, '教二楼205', '', '']
[171, 100, 550, 2, 72, 3, '教二楼202', '', '']
[171, 100, 600, 2, 73, 3, '教二楼204', '', '']
[171, 0, 550, 2, 74, 3, '教二楼203', '', '']
[171, 500, 750, 2, 75, 3, '教二楼215', '', '']
[171, 400, 750, 2, 76, 3, '教二楼216', '', '']
[171, 500, 700, 2, 77, 3, '教二楼217', '', '']
[171, 400, 700, 2, 78, 3, '教二楼218', '', '']
[171, 500, 650, 2, 79, 3, '教二楼219', '', '']
[171, 400, 650, 2, 80, 3, '教二楼220', '', '']
[171, 500, 600, 2, 81, 3, '教二楼221', '', '']
[171, 400, 600, 2, 82, 3, '教二楼222', '', '']
[171, 500, 550, 2, 83, 3, '教二楼223', '', '']
[171, 400, 550, 2, 84, 3, '教二楼224', '', '']
[171, 150, 800, 2, 85, 0, 'N', '', '']
[171, 250, 800, 2, 86, 0, 'N', '', '']
[171, 350, 800, 2, 87, 0, 'N', '', '']
[171, 150, 550, 2, 88, 3, '教二楼201', '', '']
[171, 350, 550, 2, 89, 3, '教二楼225', '', '']
[171, 150, 750, 2, 90, 3, '教二楼212', '', '']
[171, 250, 750, 2, 91, 3, '教二楼213', '', '']
[171, 350, 750, 2, 92, 3, '教二楼214', '', '']
[171, 50, 900, 3, 93, 0, 'N', '', '']
[171, 150, 900, 3, 94, 0, 'N', '', '']
[171, 350, 900, 3, 95, 0, 'N', '', '']
[171, 450, 900, 3, 96, 0, 'N', '', '']
[171, 50, 950, 3, 97, 0, 'N', '', '']
[171, 50, 1000, 3, 98, 0, 'N', '', '']
[171, 50, 1050, 3, 99, 0, 'N', '', '']
