[183, 24, 8, 1, 1, 1, '186', '', '']
[183, 14, 8, 1, 2, 2, 'Stairs', '', '']
[183, 8, 8, 1, 3, 1, '184', '', '']
[183, 10, 12, 1, 4, 1, '185', '', '']
[183, 14, 14, 2, 5, 2, 'Stairs', '', '']
[183, 10, 16, 3, 6, 2, 'Stairs', '', '']
[183, 6, 18, 4, 7, 2, 'Stairs', '', '']
[183, 2, 20, 5, 8, 2, 'Stairs', '', '']
[183, 14, 16, 2, 9, 3, '图书馆二楼', '', '']
[183, 2, 22, 5, 10, 3, '图书馆五楼', '', '']
[183, 6, 24, 4, 11, 0, 'N', '', '']
[183, 10, 22, 3, 12, 0, 'N', '', '']
[183, 8, 24, 4, 13, 3, '图书馆研讨间401', '', '']
[183, 6, 26, 4, 14, 0, 'N', '', '']
[183, 8, 26, 4, 15, 3, '图书馆研讨间402', '', '']
[183, 6, 28, 4, 16, 0, 'N', '', '']
[183, 6, 30, 4, 17, 0, 'N', '', '']
[183, 8, 28, 4, 18, 3, '图书馆研讨间403', '', '']
[183, 8, 30, 4, 19, 3, '图书馆研讨间404', '', '']
[183, 12, 22, 3, 20, 3, '图书馆研讨间301', '', '']
[183, 10, 24, 3, 21, 0, 'N', '', '']
[183, 10, 26, 3, 22, 0, 'N', '', '']
[183, 10, 28, 3, 23, 0, 'N', '', '']
[183, 10, 30, 3, 24, 0, 'N', '', '']
[183, 12, 30, 3, 25, 3, '图书馆研讨间305', '', '']
[183, 12, 28, 3, 26, 3, '图书馆研讨间304', '', '']
[183, 12, 26, 3, 27, 3, '图书馆研讨间303', '', '']
[183, 12, 24, 3, 28, 3, '图书馆研讨间302', '', '']
[183, 6, 32, 4, 29, 0, 'N', '', '']
[183, 8, 32, 4, 30, 3, '图书馆研讨间405', '', '']
[183, 6, 20, 4, 31, 3, '图书馆四楼', '', '']
[183, 10, 18, 3, 32, 3, '图书馆三楼', '', '']
