[167, 140, 50, 1, 1, 1, '168', '', '']
[167, 360, 50, 1, 2, 1, '169', '', '']
[167, 50, 50, 1, 3, 0, 'N', '', '']
[167, 50, 100, 1, 4, 0, 'N', '', '']
[167, 50, 150, 1, 5, 0, 'N', '', '']
[167, 50, 200, 1, 6, 0, 'N', '', '']
[167, 50, 250, 1, 7, 0, 'N', '', '']
[167, 450, 50, 1, 8, 0, 'N', '', '']
[167, 450, 100, 1, 9, 0, 'N', '', '']
[167, 450, 150, 1, 10, 0, 'N', '', '']
[167, 450, 200, 1, 11, 0, 'N', '', '']
[167, 450, 250, 1, 12, 0, 'N', '', '']
[167, 450, 300, 1, 13, 0, 'N', '', '']
[167, 50, 300, 1, 14, 0, 'N', '', '']
[167, 50, 350, 1, 15, 0, 'N', '', '']
[167, 50, 400, 1, 16, 0, 'N', '', '']
[167, 150, 400, 1, 17, 0, 'N', '', '']
[167, 450, 350, 1, 18, 0, 'N', '', '']
[167, 100, 350, 1, 19, 3, '西土城教二楼111', '', '']
[167, 100, 300, 1, 20, 3, '西土城教二楼109', '', '']
[167, 0, 350, 1, 21, 3, '西土城教二楼112', '', '']
[167, 0, 300, 1, 22, 3, '西土城教二楼110', '', '']
[167, 100, 250, 1, 23, 3, '西土城教二楼107', '', '']
[167, 0, 250, 1, 24, 3, '西土城教二楼108', '', '']
[167, 100, 200, 1, 25, 3, '西土城教二楼105', '', '']
[167, 0, 200, 1, 26, 3, '西土城教二楼106', '', '']
[167, 100, 150, 1, 27, 3, '西土城教二楼103', '', '']
[167, 0, 150, 1, 28, 3, '西土城教二楼104', '', '']
[167, 100, 100, 1, 29, 3, '西土城教二楼101', '', '']
[167, 0, 100, 1, 30, 3, '西土城教二楼102', '', '']
[167, 500, 100, 1, 31, 3, '西土城教二楼126', '', '']
[167, 500, 150, 1, 32, 3, '西土城教二楼124', '', '']
[167, 400, 150, 1, 33, 3, '西土城教二楼125', '', '']
[167, 400, 200, 1, 34, 3, '西土城教二楼123', '', '']
[167, 500, 200, 1, 35, 3, '西土城教二楼122', '', '']
[167, 500, 250, 1, 36, 3, '西土城教二楼120', '', '']
[167, 400, 250, 1, 37, 3, '西土城教二楼121', '', '']
[167, 500, 300, 1, 38, 3, '西土城教二楼118', '', '']
[167, 400, 300, 1, 39, 3, '西土城教二楼119', '', '']
[167, 250, 400, 1, 40, 0, 'N', '', '']
[167, 200, 400, 1, 41, 0, 'N', '', '']
[167, 300, 400, 1, 42, 0, 'N', '', '']
[167, 50, 500, 2, 43, 0, 'N', '', '']
[167, 150, 500, 2, 44, 0, 'N', '', '']
[167, 450, 400, 1, 45, 0, 'N', '', '']
[167, 150, 350, 1, 46, 3, '西土城教二楼113', '', '']
